SSerial,Rsex,Rage,MeatEnv,MeatHlth,MeatWelf,livcost1,Country,MeatHab,REconAct,REarnD
350960.0,2,28.0,2,2,2,5,2,1,1,8
351326.0,2,58.0,3,4,2,5,2,1,1,6
352598.0,2,73.0,2,4,2,2,2,1,0,0
350963.0,1,81.0,2,4,3,5,2,1,0,0
350506.0,2,66.0,3,2,3,4,2,1,1,7
352445.0,1,50.0,5,5,5,4,2,1,1,5
350691.0,1,86.0,3,4,2,5,2,1,0,0
350619.0,2,70.0,3,4,3,5,2,1,0,0
352360.0,2,41.0,4,4,4,5,2,1,1,2
352710.0,2,83.0,4,3,3,2,2,1,0,0
351363.0,2,48.0,4,4,2,5,2,1,1,6
351031.0,1,67.0,2,4,3,5,2,1,0,0
351895.0,2,42.0,5,4,4,5,2,1,1,4
351721.0,1,81.0,4,4,4,5,2,1,0,0
350708.0,1,20.0,4,2,3,3,2,1,0,0
350875.0,2,50.0,3,3,3,5,2,1,1,2
350313.0,2,29.0,3,3,3,5,2,1,0,0
350901.0,1,29.0,3,3,0,4,2,1,0,0
350933.0,1,25.0,3,2,4,4,2,1,1,4
351694.0,1,64.0,4,4,4,5,2,1,1,2
350036.0,1,22.0,3,4,4,5,2,1,0,0
351234.0,2,60.0,4,3,4,5,2,1,1,3
352456.0,1,36.0,2,2,4,2,2,1,1,5
350408.0,2,69.0,3,4,3,5,2,1,0,0
351705.0,2,58.0,3,4,4,3,2,1,1,9
351226.0,2,53.0,3,4,3,5,2,1,1,4
351980.0,1,39.0,5,5,4,3,2,1,1,0
351881.0,1,58.0,2,2,3,3,2,1,0,0
350285.0,1,39.0,4,2,3,4,2,1,1,9
350611.0,1,73.0,2,2,4,4,2,1,0,0
352453.0,1,45.0,3,2,2,5,2,1,1,6
350047.0,1,80.0,4,4,4,5,2,1,0,0
351675.0,1,19.0,3,3,3,5,2,1,1,2
352696.0,2,46.0,4,4,4,4,2,1,1,9
352000.0,1,72.0,2,2,3,2,2,1,0,0
351906.0,1,27.0,1,2,5,4,2,1,1,7
352856.0,2,51.0,4,4,3,5,2,1,1,4
352215.0,1,43.0,5,2,4,5,2,1,1,10
351279.0,2,35.0,3,3,3,4,2,1,1,10
351093.0,1,50.0,5,5,5,5,2,1,1,5
350654.0,2,35.0,1,1,1,5,2,1,1,5
350878.0,1,85.0,3,4,3,5,2,1,0,0
352737.0,1,28.0,3,3,4,4,2,1,1,4
